Time,BC,BC post,car_line1,car_line2,car_line1_stop,truck_line1,truck_line2,summed,traffic,history_temperature,history_wind_speed,history_humidity,forecast_temperature,forecast_wind_speed,forecast_humidity
2024-11-05 17:26:30,600,753,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:26:40,749,753,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:26:50,1177,753,0.0,2.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:00,672,720,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:10,926,720,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:20,815,720,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:30,679,720,0.0,1.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:40,510,720,2.0,0.0,0.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:27:50,710,747,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:00,586,747,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:10,657,747,3.0,1.0,0.0,0.0,0.0,4.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:20,819,747,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:30,605,747,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:40,1107,747,1.0,0.0,0.0,0.0,0.0,1.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:28:50,817,689,1.0,2.0,0.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:00,601,689,4.0,1.0,1.0,0.0,0.0,6.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:10,622,689,1.0,0.0,1.0,0.0,0.0,2.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:20,897,689,2.0,0.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:30,336,689,2.0,0.0,1.0,0.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:40,860,689,2.0,0.0,0.0,1.0,0.0,3.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
2024-11-05 17:29:50,738,940,0.0,0.0,0.0,0.0,0.0,0.0,0.95,19.8,28.0,66.0,20.1,15.5,65.0
