start_time,end_time,person_line3,bicycle_line3,car_line3,car_line2,car_line2_stop,person_line3_stop,person_line1,car_line1,bus_line3,truck_line3,bus_line3_stop,motorcycle_line3,backpack_line1,train_line2,bus_line2,car_line1_stop,bus_line2_stop,backpack_line3,train_line2_stop,train_line3_stop,train_line3,bicycle_line3_stop,person_line2_stop,cell phone_line1,chair_line3,car_line3_stop,suitcase_line3,truck_line2,truck_line2_stop,person_line2,Time,history_temperature,history_wind_speed,history_humidity,BC,BC post,is_simulated
2024-11-04 18:57:30,2024-11-04 18:57:45,27.0,1.0,7.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:57:45,15.3,15.5,68,783.0,754.0,1
2024-11-04 18:57:45,2024-11-04 18:58:00,22.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:58:00,15.3,15.5,68,783.0,754.0,1
2024-11-04 18:58:00,2024-11-04 18:58:15,13.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:58:15,15.3,15.5,68,749.0,703.0,1
2024-11-04 18:58:15,2024-11-04 18:58:30,18.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:58:30,15.3,15.5,68,749.0,703.0,1
2024-11-04 18:58:30,2024-11-04 18:58:45,17.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-11-04 18:58:45,15.3,15.5,68,713.8957609451007,703.0,1
2024-11-04 18:58:45,2024-11-04 18:59:00,24.0,3.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-11-04 18:59:00,15.3,15.5,68,656.0,703.0,1
2024-11-04 18:59:00,2024-11-04 18:59:15,20.0,0.0,7.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:59:15,15.3,15.5,68,749.0,715.0,1
2024-11-04 18:59:15,2024-11-04 18:59:30,27.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:59:30,15.3,15.5,68,655.3396089790007,715.0,1
2024-11-04 18:59:30,2024-11-04 18:59:45,21.0,1.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 18:59:45,15.3,15.5,68,714.0,715.0,1
2024-11-04 18:59:45,2024-11-04 19:00:00,25.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-04 19:00:00,15.3,15.5,68,714.0,715.0,1
